         Format: Kata | Kelas Kata | Arti / Definisi

Abadi        | Adjektiva  | Kekal; tidak berubah selamanya
Abai         | Verba      | Tidak peduli; lalai terhadap sesuatu
Abad         | Nomina     | Jangka waktu seratus tahun
Abang        | Nomina     | Kakak laki-laki; sapaan untuk laki-laki lebih tua
Abdi         | Nomina     | Hamba; pelayan setia
Abjad        | Nomina     | Susunan huruf dalam suatu bahasa
Absen        | Verba      | Tidak hadir dalam suatu kegiatan
Abu          | Nomina     | Sisa pembakaran berupa serbuk halus berwarna kelabu
Acara        | Nomina     | Kegiatan atau program yang direncanakan
Acu          | Verba      | Mengarahkan; mengacu kepada sesuatu
Ada          | Verba      | Hadir; terdapat; berada di suatu tempat
Adab         | Nomina     | Kesopanan; budi pekerti yang baik
Adik         | Nomina     | Saudara yang lebih muda usianya
Adil         | Adjektiva  | Tidak berat sebelah; memberikan hak yang sama
Agama        | Nomina     | Kepercayaan kepada Tuhan beserta ajaran dan kewajibannya
Agung        | Adjektiva  | Besar dan mulia; luhur
Ahli         | Nomina     | Orang yang terampil dan berpengalaman di bidang tertentu
Air          | Nomina     | Cairan bening tidak berwarna yang dibutuhkan kehidupan
Ajar         | Verba      | Memberi petunjuk; melatih agar tahu atau bisa
Akhir        | Nomina     | Bagian paling belakang; ujung; penghujung
Alam         | Nomina     | Segala sesuatu yang ada di lingkungan sekitar; dunia
Alat         | Nomina     | Benda yang digunakan untuk mengerjakan sesuatu
Alim         | Adjektiva  | Berilmu; taat beribadah
Alur         | Nomina     | Jalan cerita; susunan peristiwa dalam karya sastra
Amal         | Nomina     | Perbuatan baik; tindakan kebajikan
Amanah       | Nomina     | Kepercayaan yang diberikan kepada seseorang
Amuk         | Verba      | Menyerang dengan ganas tanpa kendali
Anak         | Nomina     | Keturunan pertama; buah hati orang tua
Angin        | Nomina     | Udara yang bergerak dari daerah bertekanan tinggi ke rendah
Angkat       | Verba      | Mengambil dan membawa ke tempat lain menggunakan tenaga
Anjing       | Nomina     | Hewan peliharaan berkaki empat yang setia
Antara       | Preposisi  | Di tengah-tengah dua hal atau lebih
Apik         | Adjektiva  | Rapi; bersih; indah
Apung        | Verba      | Mengambang di atas permukaan air
Arah         | Nomina     | Jurusan; tujuan yang dituju
Arang        | Nomina     | Sisa pembakaran kayu berwarna hitam
Arus         | Nomina     | Aliran air atau listrik yang bergerak ke satu arah
Asah         | Verba      | Mengasah; menghaluskan benda tajam dengan batu atau alat
Asli         | Adjektiva  | Murni; tidak palsu; bukan tiruan
Asing        | Adjektiva  | Bukan dari sini; tidak dikenal; luar negeri
Asuh         | Verba      | Merawat dan mendidik anak dengan penuh kasih sayang
Atas         | Nomina     | Bagian yang lebih tinggi dari yang lain
Atur         | Verba      | Menyusun; mengelola agar menjadi teratur
Awas         | Adjektiva  | Waspada; berhati-hati terhadap bahaya
Awet         | Adjektiva  | Tahan lama; tidak cepat rusak
Ayah         | Nomina     | Orang tua laki-laki; bapak
Ayam         | Nomina     | Unggas peliharaan yang umum dikonsumsi dagingnya
Ayat         | Nomina     | Bagian dari surat dalam Al-Quran; kalimat dalam undang-undang
Azas         | Nomina     | Dasar; pokok pikiran; prinsip utama
Babak        | Nomina     | Bagian dari pertandingan atau pementasan; ronde
Bahas        | Verba      | Membicarakan; mengkaji secara mendalam
Bahu         | Nomina     | Bagian tubuh antara leher dan lengan
Baik         | Adjektiva  | Tidak buruk; bermoral; berkualitas tinggi
Baju         | Nomina     | Pakaian penutup tubuh bagian atas
Bakat        | Nomina     | Kemampuan bawaan yang dimiliki seseorang sejak lahir
Balas        | Verba      | Memberikan respons terhadap sesuatu yang diterima
Balap        | Verba      | Berlomba dengan kecepatan tinggi
Balik        | Verba      | Kembali ke tempat asal; berbalik arah
Bangga       | Adjektiva  | Merasa puas dan gembira atas pencapaian diri atau orang lain
Bangku       | Nomina     | Tempat duduk panjang tanpa sandaran
Bantah       | Verba      | Menyangkal; menolak pendapat orang lain
Bantu        | Verba      | Menolong; memberikan pertolongan kepada orang lain
Baru         | Adjektiva  | Belum pernah ada sebelumnya; baru saja terjadi
Batas        | Nomina     | Garis pemisah; ujung sesuatu yang tidak boleh dilewati
Bawa         | Verba      | Mengangkut sesuatu dari satu tempat ke tempat lain
Bayar        | Verba      | Memberikan uang sebagai pengganti barang atau jasa
Bebas        | Adjektiva  | Tidak terikat; tidak dalam penjara; merdeka
Bekal        | Nomina     | Sesuatu yang dibawa untuk perjalanan atau keperluan
