Format: Kata | Sinonim

Abadi        | kekal, langgeng, abadi, lestari, azali
Abai         | lalai, acuh, cuek, lengah, tidak peduli
Abad         | kurun, zaman, era, generasi, masa
Abang        | kakak, kanda, mas, kak, saudara tua
Abdi         | hamba, pelayan, prajurit, sahaya, bawahan
Abjad        | alfabet, huruf, aksara, ejaan, fonem
Absen        | mangkir, tidak hadir, bolos, alfa, meninggalkan
Abu          | sisa bakaran, debu, pasir, ampas, kelabu
Acara        | agenda, kegiatan, program, jadwal, susunan acara
Acu          | arahkan, tuju, rujuk, referensi, mengacu
Ada          | hadir, berada, terdapat, eksis, tersedia
Adab         | sopan santun, tata krama, etika, budi pekerti, kesopanan
Adik         | adinda, adi, saudara muda, dik, junior
Adil         | fair, saksama, tidak memihak, merata, setimpal
Agama        | religi, kepercayaan, keyakinan, iman, akidah
Agung        | mulia, luhur, besar, megah, terhormat
Ahli         | pakar, spesialis, expert, mahir, profesional
Air          | cairan, banyu, toya, bening, tirta
Ajar         | didik, latih, bimbing, tuntun, arahkan
Akhir        | ujung, penghujung, penutup, terakhir, tamat
Alam         | semesta, dunia, jagat, lingkungan, universe
Alat         | perkakas, peralatan, instrumen, piranti, sarana
Alim         | saleh, taat, rajin ibadah, berilmu, soleh
Alur         | jalan cerita, plot, kronologi, rangkaian, urutan
Amal         | kebajikan, kebaikan, perbuatan baik, sumbangan, pahala
Amanah       | kepercayaan, tanggung jawab, titipan, komitmen, janji
Amuk         | mengamuk, murka, ganas, beringas, brutal
Anak         | buah hati, keturunan, putra, putri, bocah
Angin        | bayu, semilir, hawa, udara bergerak, tiupan
Angkat       | angkut, pikul, bawa, jinjing, dinaikkan
Anjing       | sudrun, guguk, bino, jongos (tidak baku), canine
Antara       | di tengah, di antara, di sela, dalam rentang, di pertengahan
Apik         | rapi, indah, bersih, cantik, menawan
Apung        | mengambang, terapung, melayang, mengapung, terombang-ambing
Arah         | jurusan, tujuan, orientasi, sasaran, haluan
Arang        | bara, jelaga, hitam gosong, karbon, sisa api
Arus         | aliran, ombak, debit, derasnya, pergerakan
Asah         | tajamkan, poles, haluskan, runcingkan, tempa
Asli         | autentik, orisinal, murni, genuine, tidak palsu
Asing        | luar negeri, tidak dikenal, anonim, janggal, ganjil
Asuh         | rawat, besarkan, didik, pelihara, momong
Atas         | puncak, bagian atas, di atas, sebelah atas, ketinggian
Atur         | susun, kelola, rapikan, organisir, tata
Awas         | waspada, siaga, hati-hati, berjaga, sigap
Awet         | tahan lama, kuat, kokoh, tidak mudah rusak, durable
Ayah         | bapak, papa, abah, rama, orang tua laki-laki
Ayam         | unggas peliharaan, pitik, manuk, si jago, gallus
Ayat         | klausa, kalimat suci, pasal, bab, bagian teks
Azas         | dasar, prinsip, pokok, pondasi, landasan
Babak        | ronde, sesi, tahap, bagian, fase pertandingan
Bahas        | kaji, diskusi, telaah, ulas, analisis
Bahu         | pundak, cunduk, sebelah lengan, bawah leher, pangkal lengan
Baik         | bagus, terpuji, bermoral, positif, elok
Baju         | pakaian, busana, seragam, baju, kostum
Bakat        | talenta, kemampuan alami, potensi, anugerah, gift
Balas        | jawab, respons, tanggapan, membalas, reaksi
Balap        | lomba, berlomba, adu cepat, pacu, kontes kecepatan
Balik        | kembali, pulang, balik kanan, berbalik, kembali asal
Bangga       | puas, gembira, berbunga hati, berbesar hati, sumringah
Bangku       | kursi panjang, tempat duduk, bench, papan duduk, balai-balai
Bantah       | sangkal, tolak, gugat, kontra, protes
Bantu        | tolong, sokong, dukung, bantu, asistensi
Baru         | segar, terbaru, terkini, mutakhir, belum pernah ada
